DATE,OPEN,HIGH,LOW,CLOSE,NO.OFSHARES,NO.OFTRADES
08-11-2021,493.90,504.90,490.45,501.45,1270353,20782
04-11-2021,490.50,493.65,488.35,489.65,527021,23182
03-11-2021,484.90,495.05,482.00,485.05,1012119,15492
02-11-2021,505.15,509.95,486.45,487.80,2144313,29335
01-11-2021,486.90,489.70,470.00,485.70,2345670,47295
29-10-2021,482.00,491.25,468.05,483.75,1305040,24860
28-10-2021,495.00,495.00,478.60,480.95,1011294,22604
27-10-2021,507.95,507.95,495.90,497.65,1084453,19136
26-10-2021,480.10,510.00,480.10,508.60,2199229,38749
25-10-2021,494.70,494.90,473.40,479.75,1301053,25350
22-10-2021,510.00,510.80,487.50,490.90,2078824,33657
21-10-2021,499.00,510.00,485.65,508.00,4134357,79183
20-10-2021,481.15,497.00,471.00,487.05,6543389,104230
19-10-2021,514.50,517.40,476.05,482.10,2537100,43687
18-10-2021,507.80,524.90,503.50,509.60,3364254,55292
14-10-2021,532.40,532.40,491.95,497.45,5322376,76050
13-10-2021,462.85,519.95,462.85,506.75,8905315,115492
12-10-2021,424.70,435.65,413.70,420.80,4962130,55670
11-10-2021,390.25,420.75,387.85,415.65,10196646,124342
08-10-2021,387.00,398.00,380.00,382.95,4488906,45269
07-10-2021,341.40,380.55,339.95,376.40,7446833,64302
06-10-2021,347.80,348.75,334.90,336.00,2265775,39029
05-10-2021,342.00,351.40,339.25,345.05,1664700,18929
04-10-2021,337.40,343.25,335.05,341.90,3235536,48421
01-10-2021,333.00,337.20,325.80,333.35,1353956,14417
30-09-2021,331.00,337.85,329.15,333.20,2600457,33791
29-09-2021,325.50,332.90,324.00,330.35,926283,10155
28-09-2021,333.75,336.00,324.70,329.25,1480762,16999
27-09-2021,322.30,333.50,322.30,331.55,5061814,82712
24-09-2021,324.80,327.00,316.00,317.95,2761697,39967
23-09-2021,312.50,324.00,312.50,321.55,4110399,23930
22-09-2021,303.05,313.70,303.05,310.05,1115096,11555
21-09-2021,297.60,302.60,293.05,301.85,1999867,29915
20-09-2021,305.70,310.15,297.45,299.05,891677,11367
17-09-2021,312.00,315.00,306.00,308.50,2297730,34929
16-09-2021,314.00,314.95,307.80,311.65,2336803,38027
15-09-2021,306.25,312.95,306.20,311.95,995025,12242
14-09-2021,303.00,307.15,302.40,306.05,915452,11882
13-09-2021,299.60,301.90,295.50,301.10,543880,7838
09-09-2021,294.00,303.50,293.65,298.80,1309761,12667
08-09-2021,294.40,298.70,291.65,295.05,1129259,17029
07-09-2021,297.95,297.95,291.00,294.65,478138,6152
06-09-2021,297.00,299.00,296.00,297.40,538781,7994
03-09-2021,292.50,296.45,292.40,295.50,721619,8546
02-09-2021,295.70,296.30,291.80,293.10,584219,8295
01-09-2021,288.50,297.30,287.35,295.20,2855448,40825
31-08-2021,292.25,292.25,286.20,287.35,1023774,13850
30-08-2021,289.30,293.40,289.30,291.90,1460028,24775
27-08-2021,282.90,286.55,281.70,285.75,986385,17520
26-08-2021,285.40,287.40,281.40,284.40,744770,9026
25-08-2021,282.00,289.15,282.00,284.35,2138539,31459
24-08-2021,278.10,281.45,268.50,279.85,2855844,55708
23-08-2021,286.55,288.25,275.00,276.95,9423948,61500
20-08-2021,290.00,290.65,281.00,283.20,1312346,23409
18-08-2021,297.90,297.90,292.70,293.35,679137,10899
17-08-2021,303.30,303.30,292.95,297.65,1725463,36712
16-08-2021,306.50,307.90,303.00,303.75,522253,7397
13-08-2021,308.95,311.20,303.15,307.10,3090963,43354
12-08-2021,297.85,307.50,297.15,306.05,3392726,40092
11-08-2021,294.75,297.80,286.35,295.45,1739475,38019
10-08-2021,298.30,300.05,291.00,294.25,1364777,30712
09-08-2021,301.30,304.30,296.10,298.15,704030,9852
06-08-2021,300.00,303.35,297.80,300.00,1325071,21780
05-08-2021,295.95,300.75,292.75,299.70,1859471,30604
04-08-2021,305.00,306.45,297.10,298.20,1908258,37670
03-08-2021,299.30,304.40,297.80,303.75,1444918,17580
02-08-2021,300.40,300.40,295.55,296.80,883983,15376
30-07-2021,294.45,299.90,293.30,293.95,2430560,41718
29-07-2021,287.85,295.40,287.65,293.00,4643444,22410
28-07-2021,290.85,290.85,283.65,284.45,1243902,21138
27-07-2021,292.90,297.60,288.70,291.30,14370419,25682
26-07-2021,295.15,297.00,291.05,293.10,2300558,54280
23-07-2021,301.80,301.80,295.00,295.65,3079947,83256
22-07-2021,306.15,307.00,301.10,302.60,811211,13996
20-07-2021,307.45,308.10,301.10,302.05,1300956,22812
19-07-2021,309.70,310.35,306.25,308.70,1656920,14649
16-07-2021,310.50,315.40,310.50,311.25,1138753,14184
15-07-2021,310.90,312.85,307.55,310.20,1004468,12484
14-07-2021,310.50,313.30,308.55,309.45,1038386,13459
13-07-2021,310.20,312.20,308.20,310.90,1510539,15091
12-07-2021,309.90,311.90,306.25,307.45,3518291,47922
09-07-2021,306.80,308.90,302.00,306.35,2352249,29930
08-07-2021,315.40,315.40,305.00,306.30,4117874,59271
07-07-2021,316.00,319.00,306.30,317.05,7977411,123653
06-07-2021,348.35,358.10,311.45,316.95,7377141,86403
05-07-2021,348.80,350.00,344.05,346.05,948393,13092
02-07-2021,345.90,345.90,340.60,344.85,772457,8998
01-07-2021,341.65,347.50,341.30,344.20,1364768,13760
30-06-2021,342.00,345.20,338.80,339.55,1039566,9919
29-06-2021,344.40,346.50,339.60,341.55,1780699,21863
28-06-2021,340.80,344.90,337.50,342.90,999967,11993
25-06-2021,336.50,342.85,336.10,339.55,1175807,10839
24-06-2021,335.70,337.40,333.45,334.55,821763,8785
23-06-2021,341.45,343.25,334.40,335.25,1747606,21826
22-06-2021,337.00,344.20,336.30,337.95,1996277,24123
21-06-2021,330.20,335.80,326.15,334.35,2295826,34246
18-06-2021,346.00,347.20,329.05,337.55,2257795,23030
17-06-2021,348.00,352.90,342.40,345.60,1243844,14336
16-06-2021,350.80,355.95,348.00,349.30,1196626,12874
